Posted On,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
5/14/2022,2,10450000,700,4 out of 6,Carpet Area,Medan,Furnished,Bachelors,3,Contact Agent,IDR
5/19/2022,2,10640000,720,12 out of 22,Carpet Area,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
7/9/2022,2,10450000,750,1 out of 7,Carpet Area,Makassar,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/31/2022,2,5320000,700,4 out of 12,Carpet Area,Yogyakarta,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,2,28500000,1000,4 out of 9,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/12/2022,5,57000000,3000,2 out of 22,Carpet Area,Palembang,Furnished,Bachelors/Family,5,Contact Agent,IDR
7/2/2022,1,9500000,413,5 out of 6,Carpet Area,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/22/2022,4,34200000,1755,6 out of 18,Carpet Area,Jakarta,Semi-Furnished,Family,4,Contact Agent,IDR
5/31/2022,3,36100000,1850,35 out of 55,Carpet Area,Surabaya,Semi-Furnished,Bachelors,4,Contact Agent,IDR
5/6/2022,2,1520000,890,4 out of 4,Carpet Area,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/23/2022,3,14250000,1200,5 out of 12,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/16/2022,3,15770000,1100,9 out of 20,Carpet Area,Semarang,Furnished,Bachelors,3,Contact Agent,IDR
7/7/2022,1,6080000,420,1 out of 3,Carpet Area,Makassar,Semi-Furnished,Family,2,Contact Agent,IDR
7/6/2022,2,7410000,630,6 out of 7,Carpet Area,Yogyakarta,Unfurnished,Family,2,Contact Agent,IDR
6/3/2022,4,28500000,1705,16 out of 29,Carpet Area,Denpasar,Semi-Furnished,Family,3,Contact Agent,IDR
6/23/2022,3,36100000,1300,1 out of 7,Carpet Area,Palembang,Furnished,Bachelors,3,Contact Agent,IDR
6/8/2022,3,30400000,1355,30 out of 45,Carpet Area,Malang,Furnished,Bachelors/Family,3,Contact Agent,IDR
6/20/2022,1,4750000,450,5 out of 7,Carpet Area,Jakarta,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/27/2022,3,17100000,1350,5 out of 12,Carpet Area,Surabaya,Unfurnished,Family,3,Contact Agent,IDR
5/14/2022,2,18050000,825,17 out of 22,Carpet Area,Bandung,Furnished,Bachelors,2,Contact Agent,IDR
7/4/2022,1,5700000,550,2 out of 4,Super Area,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/25/2022,1,3515000,430,5 out of 7,Carpet Area,Semarang,Unfurnished,Family,1,Contact Agent,IDR
6/16/2022,1,3420000,320,5 out of 7,Carpet Area,Makassar,Furnished,Bachelors/Family,1,Contact Agent,IDR
6/23/2022,3,14250000,1100,4 out of 12,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/14/2022,4,28500000,1460,11 out of 13,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
6/12/2022,3,19000000,1250,6 out of 18,Carpet Area,Palembang,Furnished,Bachelors/Family,3,Contact Agent,IDR
6/28/2022,2,32300000,1000,5 out of 9,Carpet Area,Malang,Furnished,Bachelors/Family,3,Contact Agent,IDR
7/7/2022,2,8550000,710,8 out of 16,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
7/9/2022,3,38000000,1350,1 out of 5,Carpet Area,Surabaya,Furnished,Bachelors,3,Contact Agent,IDR
6/23/2022,2,3800000,400,3 out of 3,Carpet Area,Bandung,Furnished,Bachelors/Family,1,Contact Owner,IDR
7/7/2022,3,16150000,1000,16 out of 25,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
7/6/2022,3,24700000,1500,7 out of 12,Carpet Area,Semarang,Unfurnished,Family,3,Contact Agent,IDR
7/9/2022,1,7600000,500,3 out of 6,Super Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
6/30/2022,4,47500000,2000,33 out of 42,Carpet Area,Yogyakarta,Furnished,Bachelors,4,Contact Agent,IDR
4/29/2022,1,2850000,225,Ground out of 4,Carpet Area,Denpasar,Unfurnished,Bachelors,1,Contact Owner,IDR
5/13/2022,2,7600000,650,12 out of 19,Carpet Area,Palembang,Furnished,Bachelors/Family,2,Contact Agent,IDR
7/6/2022,2,9120000,670,4 out of 16,Carpet Area,Malang,Semi-Furnished,Family,2,Contact Owner,IDR
5/31/2022,2,2850000,610,Ground out of 6,Carpet Area,Jakarta,Semi-Furnished,Bachelors,1,Contact Owner,IDR
7/1/2022,1,5320000,400,1 out of 5,Carpet Area,Surabaya,Furnished,Bachelors/Family,2,Contact Agent,IDR
6/18/2022,1,4750000,340,13 out of 23,Carpet Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/23/2022,2,6460000,471,9 out of 38,Carpet Area,Medan,Semi-Furnished,Bachelors,2,Contact Agent,IDR
6/3/2022,1,14250000,550,6 out of 8,Carpet Area,Semarang,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/19/2022,2,8550000,630,8 out of 13,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
5/27/2022,1,6650000,500,1 out of 8,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
7/6/2022,1,6080000,400,3 out of 7,Carpet Area,Denpasar,Furnished,Bachelors/Family,1,Contact Agent,IDR
7/4/2022,2,3230000,1000,3 out of 7,Super Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/20/2022,4,43700000,1528,65 out of 76,Carpet Area,Malang,Unfurnished,Family,4,Contact Agent,IDR
5/17/2022,2,6650000,650,5 out of 7,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,1,1615000,500,6 out of 7,Carpet Area,Surabaya,Unfurnished,Bachelors,1,Contact Owner,IDR
5/19/2022,3,15200000,850,19 out of 30,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/14/2022,1,10450000,550,13 out of 14,Carpet Area,Medan,Semi-Furnished,Bachelors,1,Contact Agent,IDR
6/12/2022,1,4750000,430,7 out of 21,Carpet Area,Semarang,Unfurnished,Family,2,Contact Agent,IDR
7/1/2022,3,7600000,1030,10 out of 14,Carpet Area,Makassar,Furnished,Family,3,Contact Agent,IDR
6/27/2022,1,2945000,250,11 out of 24,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
7/6/2022,1,8550000,500,9 out of 16,Carpet Area,Denpasar,Unfurnished,Bachelors,2,Contact Agent,IDR
7/7/2022,4,34200000,1750,9 out of 31,Carpet Area,Palembang,Semi-Furnished,Bachelors,4,Contact Agent,IDR
7/6/2022,2,9690000,985,7 out of 15,Carpet Area,Malang,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/20/2022,3,11400000,1050,12 out of 13,Carpet Area,Jakarta,Unfurnished,Bachelors,3,Contact Agent,IDR
5/23/2022,2,6840000,700,4 out of 15,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/24/2022,3,34200000,1200,10 out of 12,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/23/2022,3,14250000,1000,6 out of 12,Carpet Area,Medan,Furnished,Bachelors/Family,3,Contact Agent,IDR
6/20/2022,2,1520000,550,3 out of 9,Carpet Area,Semarang,Unfurnished,Family,2,Contact Agent,IDR
5/10/2022,3,9500000,806,2 out of 4,Super Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
7/9/2022,3,19000000,1400,22 out of 30,Carpet Area,Yogyakarta,Furnished,Bachelors/Family,3,Contact Agent,IDR
7/7/2022,1,3135000,470,11 out of 14,Carpet Area,Denpasar,Semi-Furnished,Family,2,Contact Agent,IDR
5/31/2022,1,855000,475,3 out of 4,Super Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/7/2022,2,6460000,583,10 out of 23,Carpet Area,Malang,Unfurnished,Family,2,Contact Agent,IDR
6/16/2022,2,6080000,475,8 out of 12,Carpet Area,Jakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
5/12/2022,2,9500000,900,1 out of 8,Carpet Area,Surabaya,Furnished,Family,2,Contact Agent,IDR
7/7/2022,1,4560000,500,3 out of 7,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
7/6/2022,2,11780000,806,3 out of 58,Carpet Area,Medan,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
7/7/2022,1,19000000,400,9 out of 10,Carpet Area,Semarang,Furnished,Bachelors/Family,1,Contact Agent,IDR
4/29/2022,1,3990000,650,6 out of 10,Super Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,1,5130000,550,4 out of 15,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/30/2022,1,1900000,390,3 out of 4,Carpet Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
6/30/2022,2,17100000,994,2 out of 2,Carpet Area,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,1,1520000,520,6 out of 8,Super Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/15/2022,1,14250000,575,1 out of 9,Carpet Area,Jakarta,Semi-Furnished,Family,1,Contact Agent,IDR
7/9/2022,3,43700000,2750,53 out of 60,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
6/13/2022,1,2850000,470,5 out of 22,Carpet Area,Bandung,Semi-Furnished,Family,2,Contact Agent,IDR
7/6/2022,4,49400000,2500,3 out of 7,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
7/9/2022,3,11780000,1100,15 out of 22,Carpet Area,Semarang,Semi-Furnished,Family,3,Contact Agent,IDR
6/27/2022,1,8265000,480,6 out of 7,Carpet Area,Makassar,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/27/2022,2,11780000,750,12 out of 16,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
5/27/2022,4,76000000,2424,5 out of 14,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,5,Contact Agent,IDR
7/6/2022,2,14725000,724,19 out of 21,Carpet Area,Palembang,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/19/2022,1,5700000,600,5 out of 5,Carpet Area,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/23/2022,3,20900000,1076,9 out of 40,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
4/29/2022,1,3800000,800,3 out of 4,Super Area,Surabaya,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
7/6/2022,3,28500000,1300,6 out of 7,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
7/4/2022,1,10450000,500,1 out of 7,Carpet Area,Medan,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/22/2022,2,13300000,700,Ground out of 8,Carpet Area,Semarang,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/23/2022,2,12350000,700,4 out of 9,Carpet Area,Makassar,Furnished,Bachelors,2,Contact Agent,IDR
7/9/2022,3,58900000,2170,44 out of 75,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
6/17/2022,1,3420000,225,18 out of 24,Carpet Area,Denpasar,Unfurnished,Bachelors,2,Contact Agent,IDR
6/23/2022,1,9120000,485,8 out of 17,Carpet Area,Palembang,Furnished,Bachelors/Family,2,Contact Agent,IDR
4/29/2022,1,1900000,225,7 out of 8,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/16/2022,1,6080000,478,4 out of 11,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/10/2022,3,6080000,1200,4 out of 5,Super Area,Surabaya,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
7/7/2022,2,6840000,620,3 out of 14,Carpet Area,Bandung,Semi-Furnished,Family,2,Contact Agent,IDR
6/8/2022,1,4180000,280,3 out of 7,Carpet Area,Medan,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
6/20/2022,1,1045000,385,3 out of 9,Carpet Area,Semarang,Unfurnished,Family,1,Contact Agent,IDR
5/25/2022,3,2850000,704,5 out of 17,Carpet Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,2,7600000,710,3 out of 4,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,1,5320000,525,2 out of 8,Super Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/30/2022,1,2090000,390,Ground out of 4,Carpet Area,Palembang,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
7/6/2022,2,7600000,755,12 out of 31,Carpet Area,Malang,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/27/2022,2,8550000,700,3 out of 7,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/10/2022,2,34200000,1000,6 out of 10,Carpet Area,Surabaya,Semi-Furnished,Bachelors,3,Contact Agent,IDR
6/24/2022,3,30400000,2000,Upper Basement out of 30,Carpet Area,Bandung,Furnished,Family,3,Contact Agent,IDR
7/1/2022,2,6840000,650,3 out of 4,Carpet Area,Medan,Unfurnished,Family,2,Contact Agent,IDR
6/30/2022,1,11210000,470,26 out of 42,Carpet Area,Semarang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
6/30/2022,1,7600000,450,3 out of 8,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/10/2022,2,7600000,625,6 out of 10,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/23/2022,2,13680000,700,3 out of 9,Carpet Area,Denpasar,Furnished,Bachelors,2,Contact Agent,IDR
7/7/2022,2,7600000,600,4 out of 10,Carpet Area,Palembang,Unfurnished,Family,2,Contact Agent,IDR
6/11/2022,2,3040000,600,2 out of 3,Carpet Area,Malang,Unfurnished,Family,1,Contact Owner,IDR
6/27/2022,2,9500000,1100,14 out of 22,Super Area,Jakarta,Furnished,Bachelors/Family,4,Contact Agent,IDR
5/27/2022,1,4560000,370,5 out of 8,Carpet Area,Surabaya,Semi-Furnished,Family,1,Contact Agent,IDR
7/9/2022,2,12350000,950,2 out of 45,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
7/7/2022,2,6270000,825,12 out of 13,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/16/2022,2,5130000,650,2 out of 7,Carpet Area,Semarang,Unfurnished,Bachelors,2,Contact Agent,IDR
6/14/2022,2,9880000,750,2 out of 9,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/29/2022,3,18050000,900,4 out of 9,Carpet Area,Yogyakarta,Semi-Furnished,Family,3,Contact Agent,IDR
7/6/2022,2,12920000,805,12 out of 68,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
7/9/2022,2,9120000,742,17 out of 36,Carpet Area,Palembang,Unfurnished,Family,2,Contact Agent,IDR
6/30/2022,2,6080000,550,4 out of 7,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/13/2022,2,7980000,745,10 out of 11,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,2,11400000,800,2 out of 7,Carpet Area,Surabaya,Furnished,Family,2,Contact Agent,IDR
6/12/2022,3,9785000,1265,10 out of 28,Carpet Area,Bandung,Unfurnished,Family,3,Contact Agent,IDR
7/9/2022,3,24700000,1800,10 out of 16,Super Area,Medan,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
6/27/2022,1,4750000,325,17 out of 24,Carpet Area,Semarang,Furnished,Bachelors/Family,1,Contact Agent,IDR
7/9/2022,2,16150000,902,41 out of 41,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
7/6/2022,3,18620000,1233,14 out of 68,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
6/12/2022,2,19000000,750,Ground out of 6,Super Area,Denpasar,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/21/2022,2,12350000,600,14 out of 17,Carpet Area,Palembang,Unfurnished,Bachelors,2,Contact Agent,IDR
6/24/2022,1,4370000,500,3 out of 9,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
7/2/2022,2,7600000,600,15 out of 20,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/23/2022,3,8550000,950,15 out of 17,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
6/27/2022,1,7600000,680,5 out of 7,Super Area,Bandung,Furnished,Bachelors/Family,4,Contact Agent,IDR
7/7/2022,1,4465000,400,1 out of 7,Carpet Area,Medan,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
7/7/2022,4,47500000,2120,46 out of 76,Carpet Area,Semarang,Furnished,Bachelors/Family,5,Contact Agent,IDR
7/1/2022,3,20900000,1350,12 out of 20,Carpet Area,Makassar,Semi-Furnished,Bachelors,4,Contact Agent,IDR
6/20/2022,3,28500000,1600,6 out of 7,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/3/2022,1,4180000,430,4 out of 6,Carpet Area,Denpasar,Unfurnished,Family,1,Contact Agent,IDR
7/9/2022,4,28500000,1937,20 out of 30,Carpet Area,Palembang,Semi-Furnished,Bachelors/Family,5,Contact Agent,IDR
6/7/2022,2,14250000,700,4 out of 7,Carpet Area,Malang,Semi-Furnished,Bachelors,3,Contact Agent,IDR
5/22/2022,2,7790000,780,14 out of 18,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/2/2022,4,28500000,1300,5 out of 13,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
6/20/2022,3,28500000,1350,18 out of 32,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/14/2022,2,10070000,750,5 out of 18,Carpet Area,Medan,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,4,26600000,1400,10 out of 25,Carpet Area,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/28/2022,4,38000000,2000,17 out of 29,Carpet Area,Makassar,Furnished,Bachelors/Family,5,Contact Agent,IDR
6/30/2022,2,12350000,850,10 out of 31,Carpet Area,Yogyakarta,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/23/2022,1,9120000,500,4 out of 9,Carpet Area,Denpasar,Furnished,Bachelors,1,Contact Agent,IDR
7/9/2022,2,14250000,900,10 out of 15,Super Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/23/2022,2,7410000,750,1 out of 3,Carpet Area,Malang,Semi-Furnished,Family,2,Contact Agent,IDR
7/9/2022,3,13300000,1100,18 out of 22,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/1/2022,4,228000000,5000,4 out of 15,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
4/29/2022,1,4750000,596,1 out of 7,Super Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/28/2022,2,8550000,680,3 out of 4,Carpet Area,Medan,Unfurnished,Bachelors,2,Contact Agent,IDR
5/17/2022,4,36100000,1950,11 out of 21,Carpet Area,Semarang,Unfurnished,Bachelors/Family,4,Contact Agent,IDR
7/9/2022,3,26600000,1350,18 out of 32,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/1/2022,1,6650000,510,3 out of 4,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/20/2022,1,11400000,500,5 out of 7,Carpet Area,Denpasar,Furnished,Bachelors/Family,1,Contact Agent,IDR
4/29/2022,1,2850000,375,13 out of 16,Super Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/21/2022,1,7410000,500,2 out of 7,Carpet Area,Malang,Furnished,Family,1,Contact Agent,IDR
5/13/2022,3,36100000,1500,8 out of 10,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/20/2022,3,15960000,1000,18 out of 21,Carpet Area,Surabaya,Furnished,Bachelors/Family,3,Contact Agent,IDR
5/31/2022,3,12920000,1260,27 out of 58,Carpet Area,Bandung,Unfurnished,Family,3,Contact Agent,IDR
6/12/2022,1,4940000,475,8 out of 20,Carpet Area,Medan,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/20/2022,2,7980000,620,6 out of 11,Carpet Area,Semarang,Semi-Furnished,Family,2,Contact Agent,IDR
6/28/2022,1,6650000,490,1 out of 6,Carpet Area,Makassar,Furnished,Bachelors/Family,1,Contact Agent,IDR
7/9/2022,2,8360000,710,13 out of 18,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,2,11400000,720,4 out of 7,Carpet Area,Denpasar,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/23/2022,2,8550000,770,2 out of 12,Carpet Area,Palembang,Semi-Furnished,Bachelors,2,Contact Agent,IDR
6/4/2022,3,47500000,1600,19 out of 25,Super Area,Malang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/23/2022,1,12350000,500,Ground out of 5,Carpet Area,Jakarta,Furnished,Bachelors/Family,1,Contact Agent,IDR
5/14/2022,1,3800000,350,1 out of 8,Super Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/9/2022,2,14250000,1000,3 out of 15,Super Area,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
7/9/2022,5,95000000,3900,4 out of 6,Carpet Area,Medan,Furnished,Bachelors/Family,5,Contact Agent,IDR
6/30/2022,3,26600000,1000,3 out of 7,Carpet Area,Semarang,Semi-Furnished,Family,3,Contact Agent,IDR
7/6/2022,2,8550000,660,25 out of 43,Carpet Area,Makassar,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/25/2022,1,1786000,600,4 out of 6,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/22/2022,2,19000000,900,2 out of 12,Carpet Area,Denpasar,Furnished,Bachelors/Family,2,Contact Agent,IDR
6/20/2022,2,12350000,750,2 out of 3,Carpet Area,Palembang,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,2,43700000,1000,2 out of 7,Carpet Area,Malang,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/19/2022,3,34200000,1500,7 out of 12,Carpet Area,Jakarta,Semi-Furnished,Bachelors,3,Contact Agent,IDR
5/19/2022,2,34200000,1200,7 out of 12,Carpet Area,Surabaya,Furnished,Bachelors/Family,3,Contact Agent,IDR
6/25/2022,3,22800000,1200,10 out of 14,Carpet Area,Bandung,Furnished,Bachelors/Family,3,Contact Agent,IDR
7/7/2022,1,3800000,280,11 out of 24,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
5/19/2022,2,24700000,1000,10 out of 12,Carpet Area,Semarang,Furnished,Bachelors,2,Contact Agent,IDR
5/19/2022,3,76000000,1800,7 out of 14,Carpet Area,Makassar,Semi-Furnished,Bachelors,4,Contact Agent,IDR
6/22/2022,2,14250000,694,1 out of 7,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,5,66500000,3250,12 out of 18,Carpet Area,Denpasar,Unfurnished,Family,5,Contact Agent,IDR
4/29/2022,3,19000000,1740,21 out of 22,Super Area,Palembang,Furnished,Bachelors/Family,4,Contact Owner,IDR
6/16/2022,2,10450000,750,8 out of 14,Carpet Area,Malang,Furnished,Bachelors/Family,2,Contact Agent,IDR
6/14/2022,3,13300000,1000,12 out of 20,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/29/2022,1,5700000,500,3 out of 4,Super Area,Surabaya,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/28/2022,4,62700000,2000,11 out of 12,Carpet Area,Bandung,Semi-Furnished,Bachelors,5,Contact Agent,IDR
6/13/2022,1,14250000,550,7 out of 10,Carpet Area,Medan,Furnished,Bachelors/Family,2,Contact Agent,IDR
6/27/2022,1,2660000,270,6 out of 7,Carpet Area,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
7/6/2022,3,24700000,960,9 out of 21,Carpet Area,Makassar,Semi-Furnished,Family,3,Contact Agent,IDR
4/29/2022,3,7600000,1200,2 out of 4,Super Area,Yogyakarta,Semi-Furnished,Family,2,Contact Owner,IDR
5/27/2022,2,8740000,710,15 out of 18,Carpet Area,Denpasar,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
7/4/2022,1,5130000,472,13 out of 14,Carpet Area,Palembang,Semi-Furnished,Bachelors,2,Contact Owner,IDR
5/26/2022,2,18050000,1000,10 out of 13,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
7/9/2022,2,17860000,800,14 out of 18,Carpet Area,Jakarta,Semi-Furnished,Family,2,Contact Agent,IDR
6/30/2022,2,7600000,650,7 out of 11,Carpet Area,Surabaya,Unfurnished,Bachelors,2,Contact Agent,IDR
7/4/2022,3,28500000,1300,6 out of 7,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
7/7/2022,2,5700000,600,2 out of 5,Carpet Area,Medan,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/16/2022,2,18050000,750,7 out of 10,Carpet Area,Semarang,Furnished,Bachelors,2,Contact Agent,IDR
6/16/2022,2,24700000,890,45 out of 77,Carpet Area,Makassar,Semi-Furnished,Family,2,Contact Agent,IDR
5/27/2022,1,2660000,421,3 out of 4,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/27/2022,3,19000000,1300,12 out of 24,Carpet Area,Denpasar,Semi-Furnished,Family,3,Contact Agent,IDR
7/5/2022,1,6650000,350,2 out of 3,Super Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/7/2022,2,10830000,800,5 out of 20,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
7/6/2022,2,8550000,650,5 out of 6,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,1,2090000,650,18 out of 19,Super Area,Surabaya,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,2,9500000,650,10 out of 20,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/27/2022,2,6650000,680,12 out of 20,Carpet Area,Medan,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
7/6/2022,2,19000000,800,1 out of 5,Carpet Area,Semarang,Furnished,Bachelors/Family,2,Contact Agent,IDR
7/6/2022,3,24700000,1250,12 out of 29,Carpet Area,Makassar,Semi-Furnished,Family,3,Contact Agent,IDR
5/23/2022,1,9880000,475,10 out of 18,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
